operator_id,total_incoming_calls,total_missed_incoming,total_weighted_wait_incoming,missed_rate_incoming,avg_wait_time_incoming,total_outgoing_calls,total_missed_outgoing,missed_rate_outgoing
890582,104.0,1.0,4906.0,0.009615384615384616,47.17307692307692,54.0,33.0,0.6111111111111112
890618,73.0,1.0,476.0,0.0136986301369863,6.52054794520548,270.0,138.0,0.5111111111111111
891152,0.0,0.0,0.0,0.0,0.0,273.0,82.0,0.30036630036630035
891154,0.0,0.0,0.0,0.0,0.0,525.0,154.0,0.29333333333333333
891156,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.3333333333333333
891158,0.0,0.0,0.0,0.0,0.0,262.0,82.0,0.31297709923664124
891160,0.0,0.0,0.0,0.0,0.0,370.0,116.0,0.31351351351351353
891162,0.0,0.0,0.0,0.0,0.0,104.0,33.0,0.3173076923076923
891166,0.0,0.0,0.0,0.0,0.0,231.0,64.0,0.27705627705627706
891170,0.0,0.0,0.0,0.0,0.0,193.0,52.0,0.2694300518134715
891192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
891250,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
891252,0.0,0.0,0.0,0.0,0.0,86.0,42.0,0.4883720930232558
891254,1.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0
891410,660.0,2.0,115853.0,0.0030303030303030303,175.53484848484848,2660.0,895.0,0.33646616541353386
891414,503.0,1.0,68813.0,0.0019880715705765406,136.8051689860835,2379.0,792.0,0.3329129886506936
891416,142.0,0.0,9705.0,0.0,68.34507042253522,705.0,244.0,0.34609929078014184
891646,8.0,0.0,207.0,0.0,25.875,0.0,0.0,0.0
891744,5.0,0.0,130.0,0.0,26.0,6.0,2.0,0.3333333333333333
891746,0.0,0.0,0.0,0.0,0.0,33.0,13.0,0.3939393939393939
891824,12.0,0.0,432.0,0.0,36.0,32.0,11.0,0.34375
891900,33.0,0.0,3593.0,0.0,108.87878787878788,0.0,0.0,0.0
891906,67.0,0.0,5603.0,0.0,83.6268656716418,0.0,0.0,0.0
891908,38.0,0.0,733.0,0.0,19.289473684210527,8.0,6.0,0.75
891918,5.0,0.0,156.0,0.0,31.2,1.0,1.0,1.0
891946,16.0,0.0,453.0,0.0,28.3125,29.0,17.0,0.5862068965517241
891948,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
891970,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.6
891976,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
891988,414.0,0.0,32292.0,0.0,78.0,474.0,111.0,0.23417721518987342
892028,0.0,0.0,0.0,0.0,0.0,1333.0,489.0,0.3668417104276069
892530,9.0,0.0,436.0,0.0,48.44444444444444,8.0,6.0,0.75
892532,65.0,0.0,5871.0,0.0,90.32307692307693,89.0,31.0,0.34831460674157305
892534,28.0,0.0,4360.0,0.0,155.71428571428572,11.0,5.0,0.45454545454545453
892536,16.0,0.0,951.0,0.0,59.4375,13.0,7.0,0.5384615384615384
892538,10.0,0.0,589.0,0.0,58.9,116.0,35.0,0.3017241379310345
892798,1.0,0.0,43.0,0.0,43.0,36.0,30.0,0.8333333333333334
892800,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.375
893172,38.0,0.0,1748.0,0.0,46.0,0.0,0.0,0.0
893400,1.0,0.0,31.0,0.0,31.0,2.0,1.0,0.5
893402,330.0,3.0,93207.0,0.00909090909090909,282.44545454545454,51.0,21.0,0.4117647058823529
893420,203.0,1.0,52369.0,0.0049261083743842365,257.97536945812806,28.0,11.0,0.39285714285714285
893674,0.0,0.0,0.0,0.0,0.0,2463.0,888.0,0.36053593179049936
893700,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.5
